time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-31T04:59:45.090Z,33.6485,-116.6818333,-0.35,1.14,ml,22,86,0.06807,0.36,ci,ci37845048,2017-03-31T05:04:15.590Z,"10km N of Anza, CA",earthquake,0.58,31.61,0.222,29,automatic,ci,ci
2017-03-31T04:59:40.000Z,33.687,-116.8945,40.49,1.12,ml,21,84,0.02445,0.37,ci,ci37845040,2017-03-31T05:03:44.273Z,"7km S of Valle Vista, CA",earthquake,1.84,1.54,0.109,6,automatic,ci,ci
2017-03-31T04:59:31.520Z,34.4346667,-117.3228333,0.11,1.8,ml,16,269,0.5854,0.19,ci,ci37845056,2017-03-31T05:03:40.610Z,"2km WNW of Hesperia, CA",earthquake,4.05,31.61,0.448,19,automatic,ci,ci
2017-03-31T04:57:11.001Z,61.7211,-148.3939,14.1,1.1,ml,,,,0.32,ak,ak15650295,2017-03-31T05:01:14.777Z,"25km ESE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-31T04:55:37.180Z,38.791832,-122.7805023,2.86,2.05,md,30,115,0.005949,0.03,nc,nc72782896,2017-03-31T05:00:02.933Z,"2km NW of The Geysers, California",earthquake,0.24,0.37,0.21,10,automatic,nc,nc
2017-03-31T04:35:09.530Z,-5.5496,151.8745,61.23,5.1,mb,,68,1.38,0.87,us,us10008dfx,2017-03-31T04:51:14.040Z,"139km SSW of Kokopo, Papua New Guinea",earthquake,9.2,8,0.075,58,reviewed,us,us
2017-03-31T04:11:35.548Z,60.4384,-148.2213,17.9,2.4,ml,,,,1.17,ak,ak15650076,2017-03-31T04:15:23.833Z,"45km SE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-31T04:11:21.716Z,65.9898,-147.6763,3.9,1.6,ml,,,,0.6,ak,ak15650075,2017-03-31T04:15:24.076Z,"125km WSW of Fort Yukon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-31T03:49:16.570Z,-4.3969,102.1241,47.76,4.9,mb,,99,0.83,0.8,us,us10008dfl,2017-03-31T04:22:52.882Z,"67km SSW of Bengkulu, Indonesia",earthquake,6.8,7.2,0.075,56,reviewed,us,us
2017-03-31T03:44:20.360Z,32.9226667,-116.2891667,9.56,2.78,ml,62,58,0.1161,0.21,ci,ci37845032,2017-03-31T03:55:53.310Z,"25km ENE of Pine Valley, CA",earthquake,0.22,0.85,0.093,25,automatic,ci,ci
2017-03-31T03:31:29.770Z,36.0060005,-120.5579987,4.29,0.92,md,7,104,0.01767,0.01,nc,nc72782886,2017-03-31T03:42:02.794Z,"23km SW of Coalinga, California",earthquake,0.72,0.95,0.25,3,automatic,nc,nc
2017-03-31T03:31:01.950Z,36.0053329,-120.5709991,2.91,1.09,md,12,98,0.02818,0.08,nc,nc72782881,2017-03-31T03:38:01.787Z,"24km SW of Coalinga, California",earthquake,0.39,0.95,0.33,6,automatic,nc,nc
2017-03-31T03:21:31.350Z,48.3732,154.2827,73.6,4.4,mb,,136,5.213,0.76,us,us10008dfi,2017-03-31T03:44:22.040Z,"289km SSW of Severo-Kuril'sk, Russia",earthquake,11.1,8.1,0.103,27,reviewed,us,us
